Date,Close
2019-09-27,25.24
2019-09-30,25.1
2019-10-01,22.51
2019-10-02,22.6
2019-10-03,22.33
2019-10-04,23.01
2019-10-07,23.51
2019-10-08,23.21
2019-10-09,24.0
2019-10-10,23.14
2019-10-11,22.39
2019-10-14,21.47
2019-10-15,23.45
2019-10-16,23.03
2019-10-17,23.86
2019-10-18,23.52
2019-10-21,22.26
2019-10-22,21.16
2019-10-23,21.08
2019-10-24,21.34
2019-10-25,22.4
2019-10-28,21.46
2019-10-29,23.18
2019-10-30,23.72
2019-10-31,23.87
2019-11-01,24.99
2019-11-04,24.61
2019-11-05,22.74
2019-11-06,23.02
2019-11-07,22.63
2019-11-08,23.52
2019-11-11,24.04
2019-11-12,24.69
2019-11-13,25.98
2019-11-14,25.93
2019-11-15,27.23
2019-11-18,30.25
2019-11-19,29.24
2019-11-20,29.1
2019-11-21,29.8
2019-11-22,29.36
2019-11-25,30.87
2019-11-26,30.96
2019-11-27,32.16
2019-11-29,35.23
2019-12-02,36.84
2019-12-03,33.48
2019-12-04,32.96
2019-12-05,31.31
2019-12-06,32.63
2019-12-09,34.77
2019-12-10,32.78
2019-12-11,32.03
2019-12-12,30.85
2019-12-13,31.53
2019-12-16,31.34
2019-12-17,32.93
2019-12-18,31.89
2019-12-19,31.93
2019-12-20,29.99
2019-12-23,29.22
2019-12-24,28.75
2019-12-26,27.0
2019-12-27,27.0
2019-12-30,27.69
2019-12-31,28.4
2020-01-02,29.74
2020-01-03,30.6
2020-01-06,29.75
2020-01-07,30.4
2020-01-08,29.65
2020-01-09,27.87
2020-01-10,28.01
2020-01-13,28.53
2020-01-14,29.69
2020-01-15,30.86
2020-01-16,30.83
2020-01-17,31.7
2020-01-21,32.0
2020-01-22,30.68
2020-01-23,30.06
2020-01-24,30.5
2020-01-27,31.25
2020-01-28,31.38
2020-01-29,31.5
2020-01-30,32.26
2020-01-31,32.36
2020-02-03,33.37
2020-02-04,33.47
2020-02-05,32.7
2020-02-06,29.0
2020-02-07,27.86
2020-02-10,28.6
2020-02-11,28.65
2020-02-12,28.34
2020-02-13,28.85
2020-02-14,27.66
2020-02-18,27.08
2020-02-19,27.1
2020-02-20,26.98
2020-02-21,25.49
2020-02-24,26.5
2020-02-25,27.11
2020-02-26,29.19
2020-02-27,28.72
2020-02-28,26.69
2020-03-02,27.92
2020-03-03,26.68
2020-03-04,27.25
2020-03-05,27.1
2020-03-06,24.98
2020-03-09,23.21
2020-03-10,22.97
2020-03-11,22.0
2020-03-12,19.51
2020-03-13,19.72
2020-03-16,22.25
2020-03-17,25.45
2020-03-18,25.79
2020-03-19,24.99
2020-03-20,23.01
2020-03-23,23.34
2020-03-24,24.57
2020-03-25,24.52
2020-03-26,25.75
2020-03-27,25.98
2020-03-30,27.7
2020-03-31,26.55
2020-04-01,27.96
2020-04-02,26.74
2020-04-03,28.75
2020-04-06,28.37
2020-04-07,27.58
2020-04-08,27.5
